,Context,Code,Occupation
217,89,47-4099.03,Weatherization Installers and Technicians
218,89,49-9081.00,Wind Turbine Service Technicians
219,88,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
220,88,27-4012.00,Broadcast Technicians
221,88,17-2041.00,Chemical Engineers
222,88,29-1141.04,Clinical Nurse Specialists
223,88,49-9092.00,Commercial Divers
224,88,35-2015.00,"Cooks, Short Order"
225,88,41-2021.00,Counter and Rental Clerks
226,88,33-3021.03,Criminal Investigators and Special Agents
227,88,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
228,88,15-1199.12,Document Management Specialists
229,88,17-3012.02,Electrical Drafters
230,88,17-2071.00,Electrical Engineers
231,88,51-6092.00,Fabric and Apparel Patternmakers
232,88,45-1011.06,First-Line Supervisors of Aquacultural Workers
233,88,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
234,88,53-7071.00,Gas Compressor and Gas Pumping Station Operators
235,88,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
236,88,17-3026.00,Industrial Engineering Technicians
237,88,29-1171.00,Nurse Practitioners
238,88,29-1122.00,Occupational Therapists
239,88,29-2099.05,Ophthalmic Medical Technologists
240,88,43-4151.00,Order Clerks
241,88,31-1015.00,Orderlies
242,88,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
243,88,41-2022.00,Parts Salespersons
244,88,29-1051.00,Pharmacists
245,88,29-1071.00,Physician Assistants
246,88,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
247,88,43-9081.00,Proofreaders and Copy Markers
248,88,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
249,88,11-3061.00,Purchasing Managers
250,88,27-3011.00,Radio and Television Announcers
251,88,15-1133.00,"Software Developers, Systems Software"
252,88,43-3071.00,Tellers
253,88,17-2051.01,Transportation Engineers
254,88,19-3099.01,Transportation Planners
255,88,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
256,87,11-2011.00,Advertising and Promotions Managers
257,87,17-3021.00,Aerospace Engineering and Operations Technicians
258,87,17-2011.00,Aerospace Engineers
259,87,27-2021.00,Athletes and Sports Competitors
260,87,25-9011.00,Audio-Visual and Multimedia Collections Specialists
261,87,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
262,87,13-2031.00,Budget Analysts
263,87,15-1199.08,Business Intelligence Analysts
264,87,11-1011.03,Chief Sustainability Officers
265,87,39-9011.00,Childcare Workers
266,87,17-3011.02,Civil Drafters
267,87,13-1031.01,"Claims Examiners, Property and Casualty Insurance"
268,87,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
269,87,11-9021.00,Construction Managers
270,87,35-2012.00,"Cooks, Institution and Cafeteria"
271,87,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
272,87,27-2031.00,Dancers
273,87,29-1031.00,Dietitians and Nutritionists
274,87,11-9033.00,"Education Administrators, Postsecondary"
275,87,25-1081.00,"Education Teachers, Postsecondary"
276,87,17-3023.03,Electrical Engineering Technicians
277,87,19-1041.00,Epidemiologists
278,87,53-7032.00,Excavating and Loading Machine and Dragline Operators
279,87,45-1011.05,First-Line Supervisors of Logging Workers
280,87,43-5011.01,Freight Forwarders
281,87,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
282,87,47-5081.00,Helpers--Extraction Workers
283,87,19-3032.00,Industrial-Organizational Psychologists
284,87,25-9031.01,Instructional Designers and Technologists
285,87,17-3029.07,Mechanical Engineering Technologists
286,87,21-1023.00,Mental Health and Substance Abuse Social Workers
287,87,17-2199.06,Microsystems Engineers
288,87,27-1014.00,Multimedia Artists and Animators
289,87,31-1014.00,Nursing Assistants
290,87,29-9011.00,Occupational Health and Safety Specialists
291,87,43-9061.00,"Office Clerks, General"
292,87,29-2052.00,Pharmacy Technicians
293,87,29-1069.09,Preventive Medicine Physicians
294,87,53-4031.00,Railroad Conductors and Yardmasters
295,87,39-9032.00,Recreation Workers
296,87,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
297,87,47-1011.03,Solar Energy Installation Managers
298,87,11-3131.00,Training and Development Managers
299,87,17-2081.01,Water/Wastewater Engineers
300,86,53-2022.00,Airfield Operations Specialists
301,86,17-1011.00,"Architects, Except Landscape and Naval"
302,86,17-3011.01,Architectural Drafters
303,86,13-1199.04,Business Continuity Planners
304,86,17-1021.00,Cartographers and Photogrammetrists
305,86,17-3022.00,Civil Engineering Technicians
306,86,27-2022.00,Coaches and Scouts
307,86,15-1111.00,Computer and Information Research Scientists
308,86,27-3043.04,Copy Writers
309,86,29-2011.01,Cytogenetic Technologists
310,86,29-2032.00,Diagnostic Medical Sonographers
311,86,51-2091.00,Fiberglass Laminators and Fabricators
312,86,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
313,86,19-1012.00,Food Scientists and Technologists
314,86,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
315,86,39-3012.00,Gaming and Sports Book Writers and Runners
316,86,15-1199.05,Geographic Information Systems Technicians
317,86,25-1071.00,"Health Specialties Teachers, Postsecondary"
318,86,11-3051.06,Hydroelectric Production Managers
319,86,53-7033.00,"Loading Machine Operators, Underground Mining"
320,86,29-2011.00,Medical and Clinical Laboratory Technologists
321,86,47-5042.00,Mine Cutting and Channeling Machine Operators
322,86,31-2012.00,Occupational Therapy Aides
323,86,29-2091.00,Orthotists and Prosthetists
324,86,19-1031.03,Park Naturalists
325,86,29-1081.00,Podiatrists
326,86,17-2072.01,Radio Frequency Identification Device Specialists
327,86,43-4171.00,Receptionists and Information Clerks
328,86,13-1041.07,Regulatory Affairs Specialists
329,86,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
330,86,17-2199.08,Robotics Engineers
331,86,47-2031.02,Rough Carpenters
332,86,39-5093.00,Shampooers
333,86,17-2199.02,Validation Engineers
334,85,17-2021.00,Agricultural Engineers
335,85,11-9041.00,Architectural and Engineering Managers
336,85,51-3021.00,Butchers and Meat Cutters
337,85,51-9011.00,Chemical Equipment Operators and Tenders
338,85,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
339,85,11-9039.01,Distance Learning Coordinators
340,85,19-2041.00,"Environmental Scientists and Specialists, Including Health"
341,85,11-9013.02,Farm and Ranch Managers
342,85,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
343,85,27-1023.00,Floral Designers
344,85,35-2021.00,Food Preparation Workers
345,85,43-3041.00,Gaming Cage Workers
346,85,39-3011.00,Gaming Dealers
347,85,47-2121.00,Glaziers
348,85,13-1041.02,Licensing Examiners and Inspectors
349,85,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
350,85,11-9199.08,Loss Prevention Managers
351,85,53-5021.02,"Mates- Ship, Boat, and Barge"
352,85,27-2041.01,Music Directors
353,85,23-2011.00,Paralegals and Legal Assistants
354,85,47-2152.01,Pipe Fitters and Steamfitters
355,85,33-3021.01,Police Detectives
356,85,51-8012.00,Power Distributors and Dispatchers
357,85,27-3031.00,Public Relations Specialists
358,85,29-1124.00,Radiation Therapists
359,85,29-2099.06,Radiologic Technicians
360,85,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
361,85,53-1021.01,Recycling Coordinators
362,85,13-2099.02,Risk Management Specialists
363,85,41-3031.03,Securities and Commodities Traders
364,85,11-9199.07,Security Managers
365,85,47-4091.00,Segmental Pavers
366,85,47-2211.00,Sheet Metal Workers
367,85,39-5094.00,Skincare Specialists
368,85,39-1012.00,Slot Supervisors
369,85,43-3021.01,Statement Clerks
370,85,47-2221.00,Structural Iron and Steel Workers
371,85,25-9041.00,Teacher Assistants
372,85,49-3093.00,Tire Repairers and Changers
373,84,41-3011.00,Advertising Sales Agents
374,84,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
375,84,39-3091.00,Amusement and Recreation Attendants
376,84,43-4011.00,Brokerage Clerks
377,84,41-2011.00,Cashiers
378,84,19-2041.01,Climate Change Analysts
379,84,15-2041.02,Clinical Data Managers
380,84,25-1021.00,"Computer Science Teachers, Postsecondary"
381,84,35-2014.00,"Cooks, Restaurant"
382,84,43-4021.00,Correspondence Clerks
383,84,53-7021.00,Crane and Tower Operators
384,84,13-2061.00,Financial Examiners
385,84,51-3093.00,Food Cooking Machine Operators and Tenders
386,84,19-4011.02,Food Science Technicians
387,84,35-3041.00,"Food Servers, Nonrestaurant"
388,84,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
389,84,51-9071.06,Gem and Diamond Workers
390,84,13-1041.04,Government Property Inspectors and Investigators
391,84,19-2041.03,Industrial Ecologists
392,84,43-4121.00,"Library Assistants, Clerical"
393,84,53-4012.00,Locomotive Firers
394,84,45-4022.00,Logging Equipment Operators
395,84,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
396,84,39-5091.00,"Makeup Artists, Theatrical and Performance"
397,84,49-9044.00,Millwrights
398,84,17-3029.11,Nanotechnology Engineering Technologists
399,84,11-9121.00,Natural Sciences Managers
400,84,29-2033.00,Nuclear Medicine Technologists
401,84,47-2073.00,Operating Engineers and Other Construction Equipment Operators
402,84,25-2011.00,"Preschool Teachers, Except Special Education"
403,84,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
404,84,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
405,84,53-4021.00,"Railroad Brake, Signal, and Switch Operators"
406,84,19-1031.02,Range Managers
407,84,41-2031.00,Retail Salespersons
408,84,49-9096.00,Riggers
409,84,11-2022.00,Sales Managers
410,84,13-1199.02,Security Management Specialists
411,84,39-7012.00,Travel Guides
412,84,11-3031.01,Treasurers and Controllers
413,84,11-9199.10,Wind Energy Project Managers
414,83,17-3027.01,Automotive Engineering Technicians
415,83,43-9111.01,Bioinformatics Technicians
416,83,47-2051.00,Cement Masons and Concrete Finishers
417,83,15-1151.00,Computer User Support Specialists
418,83,25-4012.00,Curators
419,83,15-1199.07,Data Warehousing Specialists
420,83,17-3023.01,Electronics Engineering Technicians
421,83,43-4071.00,File Clerks
422,83,19-1029.03,Geneticists
423,83,17-2111.01,Industrial Safety and Health Engineers
424,83,53-7051.00,Industrial Truck and Tractor Operators
425,83,25-1082.00,"Library Science Teachers, Postsecondary"
426,83,13-2071.01,Loan Counselors
427,83,11-3071.03,Logistics Managers
428,83,13-1111.00,Management Analysts
429,83,21-1013.00,Marriage and Family Therapists
430,83,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
431,83,31-9093.00,Medical Equipment Preparers
432,83,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
433,83,17-2161.00,Nuclear Engineers
434,83,15-2031.00,Operations Research Analysts
435,83,29-1065.00,"Pediatricians, General"
436,83,47-2161.00,Plasterers and Stucco Masons
437,83,39-9041.00,Residential Advisors
438,83,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
439,83,53-5021.01,Ship and Boat Captains
440,83,51-8021.00,Stationary Engineers and Boiler Operators
441,83,47-2053.00,Terrazzo Workers and Finishers
442,82,29-1141.02,Advanced Practice Psychiatric Nurses
443,82,39-6011.00,Baggage Porters and Bellhops
444,82,47-2021.00,Brickmasons and Blockmasons
445,82,19-4031.00,Chemical Technicians
446,82,15-1199.06,Database Architects
447,82,17-3024.00,Electro-Mechanical Technicians
448,82,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
449,82,11-3031.02,"Financial Managers, Branch or Department"
450,82,21-1091.00,Health Educators
451,82,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
452,82,47-2132.00,"Insulation Workers, Mechanical"
453,82,17-1012.00,Landscape Architects
454,82,13-1081.02,Logistics Analysts
455,82,13-1081.01,Logistics Engineers
456,82,17-2199.04,Manufacturing Engineers
457,82,17-2131.00,Materials Engineers
458,82,11-9111.00,Medical and Health Services Managers
459,82,17-2199.09,Nanosystems Engineers
460,82,29-1069.05,Nuclear Medicine Physicians
461,82,53-7064.00,"Packers and Packagers, Hand"
462,82,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
463,82,41-9021.00,Real Estate Brokers
464,82,41-3031.02,"Sales Agents, Financial Services"
465,82,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
466,82,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
467,82,27-4014.00,Sound Engineering Technicians
