,8.02,12.07,Unnamed: 2,Advertise your product or brand here
202,748.42,750.42,Oz,"Yeah, I suspect happiness."
203,750.92,754.21,Buffy,"I passed my English makeup exam,"
204,750.92,754.21,Buffy,I'm hanging with my friends...
205,754.67,756.92,Buffy,"Hello, my life, how I've missed you."
206,758.43,761.22,Willow,"Hi, Scott! What are you doin' here?"
207,761.55,764.64,Scott,You told me if I came after eight
208,761.55,764.64,Scott,I could run into Buffy.
209,765.93,768.89,Scott,"I'm sorry, I'm a bad liar."
210,765.93,768.89,Scott,It's not good for the soul.
211,769.06,771.81,Scott,"Or the skin, actually, it makes me blotch."
212,772.19,773.94,Buffy,"Hi, Scott."
213,775.32,777.16,Scott,Don't you love this song?
214,777.16,778.7,Buffy,"Yeah, actually, I do."
215,779.7,781.45,Scott,Would you like to...?
216,781.57,784.62,Buffy,Dance? Um... I don't know.
217,785.33,787.54,Buffy,I'm bad with...
218,789.08,791.23,Buffy,"Thank you for asking, it's just that..."
219,791.23,793.38,Scott,"OK, I'll just stand by the dance floor."
220,793.46,797.09,Scott,"If you change your mind, you can mosey"
221,793.46,797.09,Scott,"on over. If not, then you don't mosey."
222,797.84,799.8,Scott,"No harm, no foul, right?"
223,800.34,801.55,Buffy,Right.
224,804.72,807.39,Willow,"Come on, Buffy."
225,804.72,807.39,Willow,"I mean, the guy is charm."
226,807.85,810.81,Willow,"And normal, which is what"
227,807.85,810.81,Willow,you wanted to get back to.
228,811.6,814.77,Oz,Plus bonus points
229,811.6,814.77,Oz,"for use of the word ""mosey""."
230,815.36,817.57,Buffy,I just don't think I'm ready.
231,817.86,819.11,Willow,What's stopping you?
232,819.11,822.24,Cordelia,Check out Slutorama and her Disco Dave!
233,822.86,827.66,Cordelia,What was the last thing that guy danced to?
234,822.86,827.66,Cordelia,KC and the Sunshine Band?
235,851.64,854.48,Buffy,I don't think that guy thrives on sunshine.
236,859.15,860.11,Scott,Hi.
237,860.4,862.24,Scott,Hi. Oh...
238,862.9,864.82,Buffy,"No, I have to..."
239,865.41,868.41,Scott,"Oh. Uh, sorry. My bad."
240,868.54,874.04,Buffy,"No, it's mine. Really, it's mine."
241,868.54,874.04,Buffy,But I... I have to go.
242,880.42,882.42,Buffy,Where'd she go?
243,882.92,885.51,Cordelia,I bet it's nothing.
244,882.92,885.51,Cordelia,They're probably just making out.
245,887.3,890.47,Willow,That's not what making out sounds like.
246,887.3,890.47,Willow,Unless I'm doing it wrong.
247,892.31,894.39,Boy,Stop struggling. This won't hurt.
248,899.82,902.65,Girl,"It's OK, I got it. You're Buffy, right?"
249,904.82,906.2,Faith,I'm Faith.
250,907.32,910.83,Oz,I'm gonna go out on a limb
251,907.32,910.83,Oz,and say there's a new slayer in town.
252,917.33,919.29,Faith,Can I borrow that?
253,927.97,930.76,Faith,"Thanks, B. Couldn't have done it without you."
254,937.27,939.69,Faith,"The whole summer it was, like,"
255,937.27,939.69,Faith,the worst heat wave.
256,939.77,943.07,Faith,So it's about 118 degrees
257,939.77,943.07,Faith,and I'm sleepin' without a stitch on.
258,943.53,946.82,Faith,"All of a sudden I hear screaming outside,"
259,943.53,946.82,Faith,"so I tear out, stark nude,"
260,947.91,950.41,Faith,"and a church bus is broke down,"
261,947.91,950.41,Faith,and there's three vamps
262,950.41,952.83,Faith,feasting on half the Baptists
263,950.41,952.83,Faith,in South Boston.
264,953.54,957.33,Xander,"So I waste the vamps, and the preacher's"
265,953.54,957.33,Xander,"huggin' me like there's no tomorrow,"
