,﻿musketeer,n. a foot soldier armed with a musket
123,tambourine,n. a shallow drum with a single drumhead and with metallic disks in the sides
124,lithe,s moving and bending with ease
125,archaic,s. little evolved from or characteristic of an earlier ancestral type
126,stallion,n. uncastrated adult male horse
127,dulcet,"s. extremely pleasant in a gentle way
s. pleasing to the ear"
128,utopian,"n. an idealistic (but usually impractical) social reformer
a. of or pertaining to or resembling a utopia
a. characterized by or aspiring to impracticable perfection"
129,pedant,n. a person who pays more attention to formal rules and book learning than they merit
130,treason,"n. a crime that undermines the offender's government
n. disloyalty by virtue of subversive behavior"
131,exuberance,"n. joyful enthusiasm
n. overflowing with eager enjoyment or approval"
132,languor,"n. a relaxed comfortable feeling
n. a feeling of lack of interest or energy
n. inactivity; showing an unusual lack of energy"
133,arcane,s. requiring secret or mysterious knowledge
134,magnanimous,"s noble and generous in spirit
s generous and understanding and tolerant"
135,benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
136,imperious,s having or showing arrogant superiority to and disdain of those one views as unworthy
137,imbecile,s. having a mental age of three to seven years
138,genitals,n external sex organ
139,excrement,n waste matter (as urine or sweat but especially feces) discharged from the body
140,uncouth,s lacking refinement or cultivation or taste
141,poignancy,"n a state of deeply felt distress or sorrow
n a quality that arouses emotions (especially pity or sorrow)"
142,snivel,"n. whining in a tearful manner
v. talk in a tearful manner
v. cry or whine with snuffling"
143,scuffle,"n. a hoe that is used by pushing rather than pulling
v. fight or struggle in a confused way at close quarters"
144,shop steward,none
145,razor-keen,none
146,impoverish,v. make poor
147,subsidy,n. a grant paid by a government to an enterprise that benefits the public
148,franc,n. the basic monetary unit in many countries; equal to 100 centimes
149,Deutschmark,n formerly the basic unit of money in Germany
150,overdraft,n. a draft in excess of the credit balance
151,caper,"n. any of numerous plants of the genus Capparis
n. pickled flower buds used as a pungent relish in various dishes and sauces
n. a crime (especially a robbery)
n. a playful leap or hop"
152,recoil,"n. the backward jerk of a gun when it is fired
n. a movement back from an impact"
153,anomalous,s. deviating from the general or common order or type
154,hippopotamus,n. massive thick-skinned herbivorous animal living in or around rivers of tropical Africa
155,inept,s. revealing lack of perceptiveness or judgment or finesse
156,shiftless,s. lacking or characterized by lack of ambition or initiative; lazy
157,vandalism,n. willful wanton and malicious destruction of the property of others
158,polo,"n. Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
n. a game similar to field hockey but played on horseback using long-handled mallets and a wooden ball"
159,repertory,"n. a storehouse where a stock of things is kept
n. the entire range of skills or aptitudes or devices used in a particular field or occupation"
