,title, publication, authors, date, year, month, url, content
16,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Tom,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
17,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,oldswimcoach,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
18,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,gladzkravtz,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
19,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,BIg Ed,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
20,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Austexchili,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
21,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Deplorable Priscilla,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
22,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Todd Hilliard,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
23,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Mark Stoerner,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
24,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,1jasonfarley1,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
25,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,FedUpWithBigGovernment,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
26,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,MaxC,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
27,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,What a Crock,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
28,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,MaxC,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
29,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,doug masnaghetti,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
30,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Marty Marsh,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
31,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,SMF,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
32,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,cashey1,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
33,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,ucfeet1,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
34,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,PAUL K,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
35,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,MaxC,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
36,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Will A,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
37,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Vlad-the-Emailer,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
38,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,MaxC,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
39,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Wizard Lizard,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
40,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Roman,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
41,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,FIRESTORM1420,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
42,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Scott Frasier,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
43,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,damo1,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
44,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Justinian,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
45,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Curly,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
46,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,franklin burnside,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
47,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Bringingitreal,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
48,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,neergb2000,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
49,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,oldswimcoach,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
50,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Bob Skilnik,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
51,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,clarioncaller,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
52,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,disqus_kG8Oa11Fyp,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
53,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,commn_sens,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
54,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,BigD2047,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
55,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Deplorable Priscilla,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
56,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,GetOutofHere,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
57,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Gary Eaker,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
58,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,BigD2047,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
59,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,JES2014 ✓ ᵀʳᵘᵐᵖ 2020,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
60,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Slaappy Huo,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
61,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,GinaMcLoud,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
62,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,I spread lies,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
63,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,GetOutofHere,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
64,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,numba 10 G I,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
65,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Mr. Reality,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
66,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Barb,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
67,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,I spread lies,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
68,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Sam,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
69,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,Lance Hall,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
70,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,TseTseBug,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
71,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,EC Sigillo,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
72,Speaker Nancy Pelosi Wins This Year's 'Profile in Courage' Award,www.breitbart.com,The_Future_Cannibal,04-07-2019,2019,4,https://www.breitbart.com/politics/2019/04/07/speaker-nancy-pelosi-wins-years-profile-courage-award/,
73,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Skank_Hunt_88,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
74,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Rico4900,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
75,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,zombie_woof,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
76,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Scott Frasier,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
77,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,mrminwnc,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
78,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Canadian Deplorable,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
79,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Andy,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
80,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Kentucky Rifle,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
81,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,2enHorne2,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
82,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,frogface,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
83,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,TseTseBug,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
84,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,icetrey,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
85,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,goneout,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
86,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,2enHorne2,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
87,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Bob Lee,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
88,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Michael North,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
89,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,DiogenesDespairs,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
90,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,2enHorne2,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
91,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,goneout,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
92,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,william munny,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
93,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Greg House,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
94,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,JustinMurican,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
95,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Jim s,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
96,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,steve,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
97,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Stan Wiggins,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
98,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,Ed Anderson,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
99,Alarmists: Climate Change Causes Deaths of ‘Hundreds’ of Walruses,www.breitbart.com,They Call It News,04-07-2019,2019,4,https://www.breitbart.com/environment/2019/04/07/alarmists-climate-change-causing-deaths-hundreds-walruses/,
