,Unnamed: 0,atl hip hop,australian pop,big room,boy band,brostep,canadian hip hop,canadian pop,country rap,dance pop,dfw rap,edm,electropop,escape room,latin,panamanian pop,pop,pop house,r&b en espanol,reggaeton,reggaeton flow,trap music,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4076204172294986,0.2449940100324386,0.0,0.5,0.4898961024049784,0.5385249126336665,0.2886372784776259,1.0,0.0,0.6234291581884897
13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9999999999999992,0.893348294998892,0.5446665076871393,1.0,0.1132827525593784,0.8437248309920894,0.8942206594485094,0.2148429155135054,0.5966428862100923,0.5684272865646491
14,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2726689474815709,0.4411691384183571,0.8182202592689038,0.75,0.5439593106327716,0.0,0.4325721015330512,0.2822723175348959,0.1097477789144606,0.8403719735128661
15,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1422055789466538,0.3370168838666991,0.4589906047011589,0.375,0.7227062322935722,0.0879912306938268,0.7523768003591442,0.3216736159093698,0.4661797354115629,0.2885491938226128
16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9999999999999992,0.7005246425886402,0.6008088606214037,0.5,0.4898961024049784,0.5156279536892002,0.653697051193121,0.3750506617683766,0.8546106881358386,0.7325032405928162
17,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0903658107522549,0.4008152853830511,0.628599303319096,0.5,0.2090619551221675,0.9685015103502882,0.128370204383021,0.8463576718889472,0.1097477789144606,0.78658578174438
18,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6717281274667659,0.195557102653932,0.8446458843328828,0.25,0.6397385131955606,0.593633570830637,0.1490398122784419,0.4233071998786832,0.2387316798773338,0.6234291581884897
19,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9801133065801676,0.6538136478623291,0.5163069052242872,0.875,0.5439593106327716,0.4921920214469577,0.229852517516647,0.302421405205421,0.3450348232388577,0.78658578174438
20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5970226735705255,0.8287153369736111,0.4008494820217989,0.375,0.2090619551221675,0.7251825003593314,0.0934798511368359,0.1305439734843836,0.0,0.78658578174438
21,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9395733602037488,0.6047854781890938,0.4589906047011589,0.5,0.5439593106327716,0.5719365217635094,0.0,0.6306516560650176,0.2387316798773338,0.78658578174438
22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1251138310638726,0.893348294998892,0.7648870517444499,0.75,0.3652123889719707,0.6763587456743797,1.0,0.3579068492022818,0.19895473177119,0.3451933017622401
