,segWords,Freq
715,sharp,22
716,spokesman,22
717,strict,22
718,struggles,22
719,York,22
720,Zhong,22
721,arrives,21
722,checked,21
723,checks,21
724,chinas,21
725,confident,21
726,decision,21
727,director,21
728,Ebola,21
729,expands,21
730,expects,21
731,Find,21
732,governments,21
733,JustIn,21
734,LATEST,21
735,Malaysia,21
736,ODMd,21
737,One,21
738,online,21
739,pressure,21
740,Red,21
741,remain,21
742,restricting,21
743,shortage,21
744,suspend,21
745,town,21
746,additional,20
747,blog,20
748,calling,20
749,climb,20
750,Deadly,20
751,declared,20
752,diseases,20
753,east,20
754,evacuated,20
755,footage,20
756,hair,20
757,halted,20
758,head,20
759,heading,20
760,initiates,20
761,li,20
762,lives,20
763,lower,20
764,Medical,20
765,nationwide,20
766,Organisation,20
767,period,20
768,precautionary,20
769,prompted,20
770,race,20
771,rapid,20
772,remains,20
773,restaurants,20
774,seafood,20
775,senior,20
776,shares,20
777,spoken,20
778,struggling,20
779,talks,20
780,visiting,20
781,worry,20
782,ANI,19
783,Breakfast,19
784,BreakingNews,19
785,closes,19
786,considered,19
787,difficult,19
788,direct,19
789,dish,19
790,drop,19
791,embassy,19
792,Emergency,19
793,experience,19
794,fall,19
795,fINE,19
796,Forbidden,19
797,inside,19
798,ll,19
799,locked,19
800,monitor,19
801,NHC,19
802,popular,19
803,preparing,19
804,press,19
805,provide,19
806,reporting,19
807,restrict,19
808,sites,19
809,Six,19
810,Some,19
811,support,19
812,tells,19
813,topped,19
814,train,19
815,Video,19
816,worries,19
817,Analysis,18
818,Avoid,18
819,buses,18
820,businesses,18
821,citing,18
822,coming,18
823,company,18
824,confidence,18
825,consumer,18
826,correspondent,18
827,Cover,18
828,current,18
829,dealing,18
830,decide,18
831,devil,18
832,ea,18
833,fallout,18
834,france,18
835,hoping,18
836,hours,18
837,imiG,18
838,increased,18
839,incubation,18
840,Intelligence,18
841,Johnson,18
842,LISTEN,18
843,mouth,18
844,Nepal,18
845,NOW,18
846,packed,18
847,partial,18
848,peak,18
849,PM,18
850,population,18
851,premier,18
852,read,18
853,renowned,18
854,Report,18
855,resolute,18
856,sars,18
857,scramble,18
858,shared,18
859,sneeze,18
860,speaking,18
861,subscribe,18
862,traveler,18
863,trips,18
864,Wash,18
865,Wear,18
866,wxVI,18
867,abroad,17
868,allocates,17
869,Angeles,17
870,Arizona,17
871,australia,17
872,av,17
873,bringing,17
874,claimed,17
875,donated,17
876,flown,17
877,For,17
878,Four,17
879,heart,17
880,join,17
881,key,17
882,Lam,17
883,Los,17
884,national,17
885,originally,17
886,pathogen,17
887,preventive,17
888,researchers,17
889,slow,17
890,stepping,17
891,Students,17
892,tracked,17
893,USD,17
894,Videos,17
895,activated,16
896,Among,16
897,analysis,16
898,annual,16
899,box,16
900,changed,16
901,chartering,16
902,Chief,16
903,community,16
904,create,16
905,decided,16
906,determine,16
907,earnings,16
908,entering,16
909,FDA,16
910,February,16
911,federal,16
912,form,16
913,front,16
914,G,16
915,Hancock,16
916,Investors,16
917,kills,16
918,luxury,16
919,Maps,16
920,Matt,16
921,officer,16
922,Paris,16
923,Plague,16
924,plan,16
925,porcupines,16
926,presumptive,16
927,prompts,16
928,rail,16
929,raised,16
930,ramp,16
931,rodents,16
932,scotland,16
933,separate,16
934,services,16
935,speaks,16
936,takes,16
937,telegraph,16
938,Today,16
939,undergoing,16
940,UPDATE,16
941,Vendors,16
942,warn,16
943,WJEo,16
944,yak,16
945,yuan,16
946,adding,15
947,airlifts,15
948,alarm,15
949,ale,15
950,appreciates,15
951,asia,15
952,Carrie,15
953,Concern,15
954,considers,15
955,constitutes,15
956,contained,15
957,department,15
958,deployed,15
959,designated,15
960,halts,15
961,helping,15
962,HKSAR,15
963,HongKong,15
964,ihtc,15
965,impeachment,15
966,investor,15
967,IqNrV,15
968,January,15
969,Live,15
970,Ma,15
971,medicines,15
972,mobilizing,15
973,Nearly,15
974,origin,15
975,overwhelmed,15
976,prepare,15
977,prepares,15
978,refuse,15
979,rush,15
980,scientific,15
981,seeks,15
982,Strict,15
983,Tibet,15
984,TSaQM,15
985,Two,15
986,Where,15
987,agencies,14
988,airline,14
989,Asked,14
990,BobWoodruff,14
991,broadcaster,14
992,By,14
993,cancel,14
994,caught,14
995,CEO,14
996,cheaper,14
997,chesh,14
998,contracts,14
999,crucial,14
1000,deputy,14
1001,droplets,14
1002,energy,14
1003,England,14
1004,Entrusted,14
1005,epjEx,14
1006,events,14
1007,explosive,14
1008,Festival,14
1009,Google,14
1010,GurmanBhatia,14
1011,hardest,14
1012,Hospitals,14
1013,Huawei,14
1014,infect,14
1015,inspect,14
1016,intensify,14
1017,involving,14
1018,issued,14
1019,keeping,14
1020,lack,14
1021,learned,14
1022,leaving,14
1023,LG,14
1024,location,14
1025,mammals,14
1026,MHKqf,14
1027,mother,14
1028,mounting,14
1029,moving,14
1030,Oil,14
1031,oOuTg,14
1032,Over,14
1033,praises,14
1034,pushing,14
1035,react,14
1036,resign,14
1037,resolutely,14
1038,ReutersGraphics,14
1039,rising,14
1040,rushes,14
1041,Russia,14
1042,sealed,14
1043,See,14
1044,series,14
1045,spike,14
1046,spokesperson,14
1047,Spring,14
1048,temporary,14
1049,Toronto,14
1050,tourism,14
1051,travels,14
1052,treating,14
1053,update,14
1054,warnings,14
1055,When,14
1056,ayDBx,13
1057,Ayhj,13
1058,Bin,13
1059,boxing,13
1060,Care,13
1061,CateCadell,13
1062,concerned,13
1063,controlling,13
1064,crowds,13
1065,effects,13
1066,expand,13
1067,fatality,13
1068,fighting,13
1069,Five,13
1070,FVSgue,13
1071,globe,13
1072,hand,13
1073,Harsh,13
1074,Heartwarming,13
1075,House,13
1076,Is,13
1077,jumped,13
1078,KHDUM,13
1079,lined,13
1080,lkOE,13
1081,lock,13
1082,McDonald,13
1083,mind,13
1084,mln,13
1085,notice,13
1086,outbound,13
1087,overseas,13
1088,putting,13
1089,qualifying,13
1090,received,13
1091,Residents,13
1092,running,13
1093,samples,13
1094,Second,13
1095,sMIH,13
1096,starting,13
1097,television,13
1098,temperature,13
1099,They,13
1100,thousands,13
1101,Tokyo,13
1102,tournament,13
1103,tours,13
1104,track,13
1105,urge,13
1106,Vardhan,13
1107,visited,13
1108,visits,13
1109,wife,13
1110,About,12
1111,academic,12
1112,activities,12
1113,afternoon,12
1114,Airline,12
1115,Airlines,12
1116,Airport,12
1117,Airports,12
1118,America,12
1119,assist,12
1120,asx,12
1121,australian,12
1122,babed,12
1123,Bat,12
1124,bdb,12
1125,beer,12
1126,billionaire,12
1127,Canadian,12
1128,cancellation,12
1129,causing,12
1130,cautioning,12
1131,censorship,12
1132,charts,12
1133,check,12
1134,closures,12
1135,communicate,12
1136,Confusion,12
1137,Construction,12
1138,containment,12
1139,content,12
1140,Corona,12
1141,Craig,12
1142,craziest,12
1143,cultural,12
1144,Culver,12
1145,David,12
1146,de,12
1147,Dillon,12
1148,dip,12
1149,disrupt,12
1150,Drone,12
1151,dropping,12
1152,empty,12
1153,entertainment,12
1154,equipment,12
1155,equipped,12
1156,examining,12
1157,familiar,12
1158,Fears,12
1159,ferry,12
1160,ffcdca,12
1161,financial,12
1162,Finland,12
1163,fiscal,12
1164,flee,12
1165,FozxJMi,12
1166,fujD,12
1167,Gottlieb,12
1168,Government,12
1169,handle,12
1170,harder,12
1171,Have,12
1172,heartbeats,12
1173,highly,12
1174,homeless,12
1175,huge,12
1176,identifying,12
1177,implementing,12
1178,increases,12
1179,kits,12
1180,largest,12
1181,launched,12
1182,links,12
1183,lost,12
1184,ly,12
1185,Major,12
1186,matter,12
1187,Media,12
1188,mix,12
1189,monetary,12
1190,mount,12
1191,mumbai,12
1192,Mumbai,12
1193,mZdw,12
1194,networks,12
1195,Nikkei,12
1196,Novel,12
1197,NYTParenting,12
1198,operations,12
1199,ordeal,12
1200,parents,12
1201,parks,12
1202,Party,12
1203,Paul,12
1204,politics,12
1205,pregnant,12
1206,preps,12
1207,pretty,12
1208,Prime,12
1209,private,12
1210,protection,12
1211,protesters,12
1212,quotes,12
1213,races,12
1214,ramps,12
1215,reel,12
1216,restricts,12
1217,Return,12
1218,Scott,12
1219,scrapped,12
1220,searches,12
1221,slide,12
1222,slowed,12
1223,soup,12
1224,station,12
1225,stem,12
1226,stethoscope,12
1227,Street,12
1228,strengthening,12
1229,Studies,12
1230,study,12
1231,suddenly,12
1232,supervise,12
1233,teacher,12
1234,Thermal,12
1235,totally,12
1236,Travel,12
1237,trip,12
1238,troubled,12
1239,Tudor,12
1240,tumble,12
1241,underscoring,12
1242,unique,12
1243,videos,12
1244,vitals,12
1245,voice,12
1246,vrAE,12
1247,vulnerabilities,12
1248,waiting,12
1249,WATCH,12
1250,Wife,12
1251,wildlife,12
1252,WILDLIFE,12
1253,win,12
1254,woes,12
1255,women,12
1256,X,12
1257,XcQPwA,12
1258,xUN,12
1259,action,11
1260,admitting,11
1261,After,11
1262,beefs,11
1263,Business,11
1264,call,11
1265,cancelled,11
1266,car,11
1267,charter,11
1268,circulating,11
1269,climbed,11
1270,Committee,11
1271,completed,11
1272,developing,11
1273,exchange,11
1274,express,11
1275,halfway,11
1276,hospitalized,11
1277,Illinois,11
1278,indians,11
1279,investigating,11
1280,Jiangxi,11
1281,Lanka,11
1282,late,11
1283,lead,11
1284,lowest,11
1285,main,11
1286,Michael,11
1287,ministers,11
1288,network,11
1289,overcrowded,11
1290,passenger,11
1291,Passengers,11
1292,postpones,11
1293,READ,11
1294,reportedly,11
1295,Reports,11
1296,rules,11
1297,sealing,11
1298,seek,11
1299,site,11
1300,Sri,11
1301,struggle,11
1302,suspension,11
1303,tracks,11
1304,Transportation,11
1305,While,11
1306,wpTwu,11
1307,access,10
1308,Across,10
1309,adapting,10
1310,b,10
1311,Bird,10
1312,block,10
1313,boarding,10
1314,Boeing,10
1315,Boris,10
1316,brands,10
1317,Breakingviews,10
1318,breathing,10
1319,british,10
1320,broader,10
1321,Cambodia,10
1322,campus,10
1323,carmakers,10
1324,CDCgov,10
1325,Charter,10
1326,Chengdu,10
1327,claims,10
1328,cleaning,10
1329,Cobra,10
1330,cold,10
1331,combined,10
1332,common,10
1333,constantly,10
1334,corona,10
1335,corporate,10
1336,Council,10
1337,cQOhL,10
1338,cram,10
1339,damage,10
1340,dark,10
1341,dasha,10
1342,denies,10
1343,discussing,10
1344,donald,10
1345,Donald,10
1346,driver,10
1347,education,10
1348,effective,10
1349,effectively,10
1350,encountered,10
1351,evacuating,10
1352,evening,10
1353,experiencing,10
1354,extract,10
1355,feel,10
1356,groceries,10
1357,hidden,10
1358,HSBC,10
1359,hubs,10
1360,ICU,10
1361,Inc,10
1362,includes,10
1363,indias,10
1364,jgriffiths,10
1365,jumbo,10
1366,killing,10
1367,levels,10
1368,list,10
1369,Location,10
1370,lows,10
1371,migration,10
1372,Ministers,10
1373,mistake,10
1374,moment,10
1375,moves,10
1376,Multiple,10
1377,nature,10
1378,Nest,10
1379,NewsAlert,10
1380,novelcoronavirus,10
1381,Now,10
1382,NSW,10
1383,Nurses,10
1384,October,10
1385,Official,10
1386,options,10
1387,organization,10
1388,P,10
1389,Panicked,10
1390,patel,10
1391,percent,10
1392,plastic,10
1393,Pod,10
1394,posted,10
1395,priti,10
1396,process,10
1397,providing,10
1398,Q,10
1399,Qhfkc,10
1400,question,10
1401,raising,10
1402,reaching,10
1403,releases,10
1404,RepublicDay,10
1405,respond,10
1406,reuters,10
1407,scared,10
1408,scheme,10
1409,scientist,10
1410,seeking,10
1411,Shoppers,10
1412,signs,10
1413,soar,10
1414,Squawk,10
1415,SquawkCNBC,10
1416,stadium,10
1417,straining,10
1418,strategy,10
1419,supermarket,10
1420,supply,10
1421,swiftly,10
1422,till,10
1423,transparency,10
1424,trump,10
1425,uITcQc,10
1426,understand,10
1427,unity,10
1428,unprecedented,10
1429,urgent,10
1430,vehicles,10
1431,vice,10
1432,wake,10
1433,White,10
1434,xenophobia,10
1435,Xiaowei,10
1436,xiPRA,10
1437,You,10
1438,Affairs,9
1439,appeared,9
1440,astAI,9
1441,Babbage,9
1442,banned,9
1443,bat,9
1444,bigger,9
1445,bln,9
1446,bodies,9
1447,bring,9
1448,Bruised,9
1449,Buzyn,9
1450,carriers,9
